41,Uzbekistan,0.631
109,Cambodia,0.609
3,Norway,0.603
21,United Arab Emirates,0.598
1,Finland,0.596
2,Denmark,0.592
4,Iceland,0.591
8,New Zealand,0.585
9,Canada,0.584
7,Sweden,0.574
